location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.865930195
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.110697032
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.691502194
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.02
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,0.913333333
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.1
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.1375
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.12
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.128
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.659163987
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.354066986
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.621004566
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.257253385
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.560636183
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.379912664
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.708064516
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.986268957
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,2.24932681
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,2.297713538
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.353295966
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,2.372444935
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,2.403263993
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,2.710546347
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.573903228
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.802703775
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.300476531
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.230265154
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.379634849
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,2.81334243
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,2.816165608
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,2.636512557
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,2.947463049
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,3.121385911
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,2.662635157
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,2.93199484
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,2.880221841
BRA,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,3.093107179
